AS,,,,March 2025,ALWAYS ASK FOR STOCKS AVAILABILITY,,,
3MOS,COOLER FAN,DEEPCOOL ,AK500 - BLACK ,COOLER FAN - DEEPCOOL  AK500 - BLACK ,"₱2,300","₱2,270.00","₱2,576.00",0
3MOS,COOLER FAN,DEEPCOOL ,AK500S - (DIGITAL) white ,COOLER FAN - DEEPCOOL  AK500S - (DIGITAL) white ,"₱2,350","₱2,300.00","₱2,632.00",1
3MOS,COOLER FAN,JONSBO,CR 1200 - BLACK,COOLER FAN - JONSBO CR 1200 - BLACK,₱500,₱480.00,₱560.00,4
3MOS,COOLER FAN,JONSBO,CR 1400 EVO - ARGB BLACK,COOLER FAN - JONSBO CR 1400 EVO - ARGB BLACK,₱850,₱830.00,₱952.00,0
3MOS,COOLER FAN,JONSBO,CR 1400 EVO - ARGB WHITE,COOLER FAN - JONSBO CR 1400 EVO - ARGB WHITE,₱860,₱840.00,₱963.20,2
3MOS,COOLER FAN,DEEPCOOL ,AG400  - (DIGITAL WITH ARGB) WHITE,COOLER FAN - DEEPCOOL  AG400  - (DIGITAL WITH ARGB) WHITE,"₱1,750","₱1,720.00","₱1,960.00",0
3MOS,COOLER FAN,DEEPCOOL ,AG400  - (DIGITAL WITH ARGB) BLACK,COOLER FAN - DEEPCOOL  AG400  - (DIGITAL WITH ARGB) BLACK,"₱1,650","₱1,620.00","₱1,848.00",0
3MOS,COOLER FAN,DEEPCOOL ,AK400  -  black,COOLER FAN - DEEPCOOL  AK400  -  black,,,₱0.00,0
3MOS,COOLER FAN,DEEPCOOL ,AK400  -  white ,COOLER FAN - DEEPCOOL  AK400  -  white ,,,₱0.00,0
1YR,DESKTOP,ACER,ASPIRE TC-1785 I5-14TH GEN  8GB 256GB SSD 1TB HDD 500W + ACER SA222Q LED MONITOR,DESKTOP - ACER ASPIRE TC-1785 I5-14TH GEN  8GB 256GB SSD 1TB HDD 500W + ACER SA222Q LED MONITOR,"₱41,500",,"₱46,480.00",0
1YR,DVDRW,ASUS,DRW-24D5MT 24X ,DVDRW - ASUS DRW-24D5MT 24X ,"₱1,400","₱1,370.00","₱1,568.00",0
1MO,EARPHONES,CREATIVE,AURVANA ACE 2,EARPHONES - CREATIVE AURVANA ACE 2,"₱5,500","₱5,500.00","₱6,160.00",0
2WKS,ENCLOSURE,ORICO,2.5inch ENCLOSURE,ENCLOSURE - ORICO 2.5inch ENCLOSURE,₱350,₱350.00,₱392.00,0
2WKS,ENCLOSURE,ORICO,CADDY TRAY (L95SS),ENCLOSURE - ORICO CADDY TRAY (L95SS),₱650,₱630.00,₱728.00,0
2WKS,ENCLOSURE,ORICO,M.2 NVME ENCLOSURE TCM2-C3 BLUE,ENCLOSURE - ORICO M.2 NVME ENCLOSURE TCM2-C3 BLUE,"₱1,450","₱1,430.00","₱1,624.00",0
2WKS,ENCLOSURE,ORICO,M.2 NVME ENCLOSURE TCM2-C3 RED,ENCLOSURE - ORICO M.2 NVME ENCLOSURE TCM2-C3 RED,"₱1,450","₱1,430.00","₱1,624.00",0
2WKS,ENCLOSURE,ORICO,M.2 NVME ENCLOSURE M2PJ-C3 BLACK,ENCLOSURE - ORICO M.2 NVME ENCLOSURE M2PJ-C3 BLACK,"₱1,200","₱1,180.00","₱1,344.00",0
1YR,ETHERNET,DECO,AC1200 WHOLE HOME MESH WIFI SYSTEM,ETHERNET - DECO AC1200 WHOLE HOME MESH WIFI SYSTEM,"₱4,800","₱4,780.00","₱5,376.00",0
1MO,ETHERNET,MERCUSYS,(MW301R) 300MBPS WIRELESS N ROUTER,ETHERNET - MERCUSYS (MW301R) 300MBPS WIRELESS N ROUTER,₱640,₱590.00,₱716.80,2
2MOS,ETHERNET,MERCUSYS,(MS105) 5 PORT 10/100MBPS DESKTOP SWITCH,ETHERNET - MERCUSYS (MS105) 5 PORT 10/100MBPS DESKTOP SWITCH,₱450,₱430.00,₱504.00,0
2MOS,ETHERNET,MERCUSYS,(MS108) 8 PORT 10/100MBPS DESKTOP SWITCH,ETHERNET - MERCUSYS (MS108) 8 PORT 10/100MBPS DESKTOP SWITCH,₱500,₱480.00,₱560.00,0
2MOS,ETHERNET,MERCUSYS,(MS105G) 5 PORT GIGABIT 10/100/1000MBPS DESKTOP SWITCH,ETHERNET - MERCUSYS (MS105G) 5 PORT GIGABIT 10/100/1000MBPS DESKTOP SWITCH,₱720,₱700.00,₱806.40,0
2MOS,ETHERNET,MERCUSYS,(MS108G) 8 PORT GIGABIT 10/100/1000MBPS DESKTOP SWITCH,ETHERNET - MERCUSYS (MS108G) 8 PORT GIGABIT 10/100/1000MBPS DESKTOP SWITCH,₱900,₱880.00,"₱1,008.00",0
N/A,ETHERNET,RJ45,COMLINK RC-EZM100 METAL SHIELDED  per piece,ETHERNET - RJ45 COMLINK RC-EZM100 METAL SHIELDED  per piece,₱10,₱8.00,₱11.20,(10)
1YR,ETHERNET,TENDA ,N300 - F3 300MBPS WIRELESS ROUTER 3X5DBI,ETHERNET - TENDA  N300 - F3 300MBPS WIRELESS ROUTER 3X5DBI,₱750,₱730.00,₱840.00,0
1YR,ETHERNET,TENDA ,TEG1016M 16 PORT GIGABIT ETHERNET SWITCH,ETHERNET - TENDA  TEG1016M 16 PORT GIGABIT ETHERNET SWITCH,"₱2,500","₱2,480.00","₱2,800.00",1
10MOS,ETHERNET,TP LINK,CPE605 5GHz 150 Mbps 23dBi OUTDOOR CPE,ETHERNET - TP LINK CPE605 5GHz 150 Mbps 23dBi OUTDOOR CPE,"₱2,240","₱2,220.00","₱2,508.80",0
1YR,ETHERNET,TP LINK,AX6000 8-STREAM WIFI 6 ROUTER,ETHERNET - TP LINK AX6000 8-STREAM WIFI 6 ROUTER,"₱9,600","₱9,580.00","₱10,752.00",0
3MOS,ETHERNET,TP LINK,ARCHER (AX12) AX1500 GIAGABIT WI-FI 6 ROUTER,ETHERNET - TP LINK ARCHER (AX12) AX1500 GIAGABIT WI-FI 6 ROUTER,"₱1,650","₱1,600.00","₱1,848.00",0
1YR,ETHERNET,TPLINK,16-PORT GIGABIT DESKTOP SWITCH HUB RACKMOUNT (TL-SG1016D),ETHERNET - TPLINK 16-PORT GIGABIT DESKTOP SWITCH HUB RACKMOUNT (TL-SG1016D),"₱3,200","₱3,150.00","₱3,584.00",2
1YR,ETHERNET,TPLINK,24 PORT (TL-SG1024D) SWITCH HUB,ETHERNET - TPLINK 24 PORT (TL-SG1024D) SWITCH HUB,"₱4,200","₱4,150.00","₱4,704.00",1
1YR,ETHERNET,TPLINK,8 PORT (TL-SG1008D) GIGABIT SWITCH HUB,ETHERNET - TPLINK 8 PORT (TL-SG1008D) GIGABIT SWITCH HUB,"₱1,250","₱1,230.00","₱1,400.00",1
1YR,ETHERNET,TPLINK,300MBPS N300 TL-WA855RE WIFI RANGE EXTENDER,ETHERNET - TPLINK 300MBPS N300 TL-WA855RE WIFI RANGE EXTENDER,₱750,₱730.00,₱840.00,0
1YR,ETHERNET,TPLINK,300MBPS TL-WR840N WIRELESS N ROUTER 2 FIXED ANTENNA ,ETHERNET - TPLINK 300MBPS TL-WR840N WIRELESS N ROUTER 2 FIXED ANTENNA ,₱820,₱800.00,₱918.40,0
1YR,ETHERNET,TPLINK,AC1900 WIFI RANGE EXTENDER,ETHERNET - TPLINK AC1900 WIFI RANGE EXTENDER,"₱1,900","₱1,880.00","₱2,128.00",0
1MO,ETHERNET,,LAN TESTER NS-458AT - RED BOX,ETHERNET -  LAN TESTER NS-458AT - RED BOX,₱530,₱480.00,₱593.60,0
N/A,ETHERNET,,RJ45 - COMLINK RC-EZM100 PSTHRU EZ RJ45 METAL SHIELDED 100's,ETHERNET -  RJ45 - COMLINK RC-EZM100 PSTHRU EZ RJ45 METAL SHIELDED 100's,₱500,₱470.00,₱560.00,2
N/A,ETHERNET,,RJ45 - COMLINK RC-EZP100 plastic (PER PIECE),ETHERNET -  RJ45 - COMLINK RC-EZP100 plastic (PER PIECE),₱5,₱5.00,₱5.60,(50)
N/A,ETHERNET,,RJ45 - COMLINK RC-EZP100 PSTHRU EZ RJ45 PLASTIC,ETHERNET -  RJ45 - COMLINK RC-EZP100 PSTHRU EZ RJ45 PLASTIC,₱400,₱380.00,₱448.00,502
N/A,ETHERNET,,RJ45 - with CRIMP (2cps set) ,ETHERNET -  RJ45 - with CRIMP (2cps set) ,₱20,₱20.00,₱22.40,(47)
1MO,ETHERNET,,USB LAN ADAPTER 2.0 white,ETHERNET -  USB LAN ADAPTER 2.0 white,₱150,₱150.00,₱168.00,0
1YR,ETHERNET,TPLINK,OMADA 24 PORT GIGABIT L2 + MANAGED SWITCH WITH 4 10GE SFP + SLOTS (SG3428X),ETHERNET - TPLINK OMADA 24 PORT GIGABIT L2 + MANAGED SWITCH WITH 4 10GE SFP + SLOTS (SG3428X),"₱12,400","₱12,380.00","₱13,888.00",0
1WK,FAN,ADLINK,DUAL RING - RED,FAN - ADLINK DUAL RING - RED,₱120,₱110.00,₱134.40,13
1WK,FAN,GSTORM,BLAZE FS -  BLACK,FAN - GSTORM BLAZE FS -  BLACK,₱130,₱120.00,₱145.60,0
1WK,FAN,GSTORM,SLIM FRAME - GREEN,FAN - GSTORM SLIM FRAME - GREEN,₱130,₱120.00,₱145.60,0
1WK,FAN,GSTORM,SLIM FRAME - ICED BLUE,FAN - GSTORM SLIM FRAME - ICED BLUE,₱130,₱120.00,₱145.60,7
1WK,FAN,GSTORM,NON-LED,FAN - GSTORM NON-LED,₱80,₱70.00,₱89.60,19
1WK,FAN,GSTORM,OCTA BLAZE -  WHITE,FAN - GSTORM OCTA BLAZE -  WHITE,₱130,₱120.00,₱145.60,5
1WK,FAN,GSTORM,FROST - RAINBOW,FAN - GSTORM FROST - RAINBOW,₱130,₱120.00,₱145.60,15
1WK,FAN,GSTORM,DIAMOND FAN - RGB,FAN - GSTORM DIAMOND FAN - RGB,₱110,₱100.00,₱123.20,6
1WK,FAN,GSTORM,SLIM - PINK,FAN - GSTORM SLIM - PINK,₱150,₱130.00,₱168.00,22
1WK,FAN,GSTORM,DIAMOND FAN - ORANGE,FAN - GSTORM DIAMOND FAN - ORANGE,₱110,₱100.00,₱123.20,12
1WK,FAN,GSTORM,DIAMOND FAN  PINK,FAN - GSTORM DIAMOND FAN  PINK,₱110,₱90.00,₱123.20,11
1WK,FAN,GSTORM,DUAL RING - PURPLE,FAN - GSTORM DUAL RING - PURPLE,₱130,₱80.00,₱145.60,31
1WK,FAN,GSTORM,SLIM FRAME - ARGB BLACK,FAN - GSTORM SLIM FRAME - ARGB BLACK,₱150,₱130.00,₱168.00,7
1WK,FAN,INPLAY,SEAVIEW TOWER X1-B SINGLE 6-pin FAN-EXTRA - BLACK ,FAN - INPLAY SEAVIEW TOWER X1-B SINGLE 6-pin FAN-EXTRA - BLACK ,₱200,₱190.00,₱224.00,4
1WK,FAN,INPLAY,SEAVIEW FAN F1 SINGLE MINI 4-pin FAN-EXTRA - BLACK ,FAN - INPLAY SEAVIEW FAN F1 SINGLE MINI 4-pin FAN-EXTRA - BLACK ,₱200,₱180.00,₱224.00,5
1WK,FAN,INPLAY,SEAVIEW FAN F1 SINGLE MINI 4-pin FAN-EXTRA - WHITE,FAN - INPLAY SEAVIEW FAN F1 SINGLE MINI 4-pin FAN-EXTRA - WHITE,₱220,₱200.00,₱246.40,4
1WK,FAN,INTELLIGENT,DUAL ECLIPSE 7 COLORS,FAN - INTELLIGENT DUAL ECLIPSE 7 COLORS,₱110,₱105.00,₱123.20,3
,FAN,KEYTECH,PRISM WHITE EXTRA FAN,FAN - KEYTECH PRISM WHITE EXTRA FAN,₱200,₱200.00,₱224.00,6
,FAN,KEYTECH,PRISM BLACK EXTRA FAN,FAN - KEYTECH PRISM BLACK EXTRA FAN,₱200,₱200.00,₱224.00,2
1WK,FAN,YGT,1290 RAINBOW - WHITE RING FRAME,FAN - YGT 1290 RAINBOW - WHITE RING FRAME,₱130,₱120.00,₱145.60,1
,FAN,DEEP COOL,FC120 3-IN-1 BLACK EXTRA FAN,FAN - DEEP COOL FC120 3-IN-1 BLACK EXTRA FAN,₱680,₱660.00,₱761.60,2
1WK,FAN,GSTORM,DUAL RING - ICE BLUE,FAN - GSTORM DUAL RING - ICE BLUE,₱150,₱130.00,₱168.00,20
1WK,FAN,GSTORM,DUAL RING - RAINBOW,FAN - GSTORM DUAL RING - RAINBOW,₱150,₱130.00,₱168.00,20
1WK,FAN,GSTORM,SLIM FRAME - WHITE,FAN - GSTORM SLIM FRAME - WHITE,₱150,₱130.00,₱168.00,0
,FAN,KEYTECH,TORNADO - SINGLE WHITE,FAN - KEYTECH TORNADO - SINGLE WHITE,₱120,₱100.00,₱134.40,0
2MOS,FAN-KIT,DARKFLASH,DR12 PRO - 3-IN-1 KIT,FAN-KIT - DARKFLASH DR12 PRO - 3-IN-1 KIT,"₱1,100","₱1,080.00","₱1,232.00",1
1MO,FAN-KIT,DARKFLASH,DARKFLASH DR12 PRO - SINGLE FAN,FAN-KIT - DARKFLASH DARKFLASH DR12 PRO - SINGLE FAN,₱250,₱250.00,₱280.00,1
2MOS,FAN-KIT,INPLAY,ICE TOWER - 3-IN-1 KIT,FAN-KIT - INPLAY ICE TOWER - 3-IN-1 KIT,₱580,₱560.00,₱649.60,3
1WK,FAN-KIT,INPLAY,SEAVIEW TOWER X3-B - BLACK,FAN-KIT - INPLAY SEAVIEW TOWER X3-B - BLACK,₱750,₱730.00,₱840.00,5
2WKS,FAN-KIT,INPLAY,ICE TOWER - ICE ONE (extra fan),FAN-KIT - INPLAY ICE TOWER - ICE ONE (extra fan),₱180,₱180.00,₱201.60,7
1WK,FAN-KIT,INPLAY,SEAVIEW TOWER F3-BLACK 3IN1 ARGB MINI 4 PIN,FAN-KIT - INPLAY SEAVIEW TOWER F3-BLACK 3IN1 ARGB MINI 4 PIN,₱670,₱650.00,₱750.40,3
1WK,FAN-KIT,INPLAY,SEAVIEW TOWER F3-WHITE 3IN1 ARGB MINI 4 PIN,FAN-KIT - INPLAY SEAVIEW TOWER F3-WHITE 3IN1 ARGB MINI 4 PIN,₱690,₱670.00,₱772.80,0
2WKS,FAN-KIT,KEYTECH,PRISM WHITE,FAN-KIT - KEYTECH PRISM WHITE,₱690,₱690.00,₱772.80,6
2WKS,FAN-KIT,KEYTECH,PRISM BLACK,FAN-KIT - KEYTECH PRISM BLACK,₱670,₱670.00,₱750.40,0
2WKS,FAN-KIT,LIAN LI,SL INFINITY 120-3 WHITE COOLER,FAN-KIT - LIAN LI SL INFINITY 120-3 WHITE COOLER,"₱5,600","₱5,580.00","₱6,272.00",1
1MO,FAN-KIT,YGT,1250 ARGB - 3-IN-1 KIT,FAN-KIT - YGT 1250 ARGB - 3-IN-1 KIT,₱880,₱860.00,₱985.60,0
2WKS,FAN-KIT,YGT,ARGB 3IN1 1255 - EXTRA FAN,FAN-KIT - YGT ARGB 3IN1 1255 - EXTRA FAN,₱200,₱180.00,₱224.00,10
2WKS,FAN-KIT,DEEP COOL,FC120 3-IN-1 BLACK,FAN-KIT - DEEP COOL FC120 3-IN-1 BLACK,"₱1,800","₱1,780.00","₱2,016.00",1
1MO,FAN-KIT,KEYTECH,TORNADO - 3-IN-1 KIT WHITE,FAN-KIT - KEYTECH TORNADO - 3-IN-1 KIT WHITE,₱650,₱630.00,₱728.00,0
1MO,FLASH DRIVE,TEAM GROUP,C175 eco 3.2 GEN1 - 64GB,FLASH DRIVE - TEAM GROUP C175 eco 3.2 GEN1 - 64GB,₱450,₱420.00,₱504.00,2
1YR,FLASH DRIVE,SANDISK,CRUZER BLADE 64GB,FLASH DRIVE - SANDISK CRUZER BLADE 64GB,₱450,₱430.00,₱504.00,3
1YR,FLASH DRIVE,SANDISK,CRUZER BLADE 128GB,FLASH DRIVE - SANDISK CRUZER BLADE 128GB,₱550,₱530.00,₱616.00,2
1YR,FLASH DRIVE,SANDISK,CRUZER BLADE 32GB,FLASH DRIVE - SANDISK CRUZER BLADE 32GB,₱350,₱330.00,₱392.00,0
1YR,GPU,COLORFUL,GEFORCE RTX 3070 BATTLE AX 8GB,GPU - COLORFUL GEFORCE RTX 3070 BATTLE AX 8GB,"₱27,900","₱27,850.00","₱31,248.00",0
1YR,GPU,COLORFUL,IGAME ULTRA RTX 4060 8GB GDDR6 (WHITE),GPU - COLORFUL IGAME ULTRA RTX 4060 8GB GDDR6 (WHITE),"₱18,500","₱18,300.00","₱20,720.00",0
1YR,GPU,GALAX,GTX 1650EX PLUS - 1-CLICK OC 4GB DDR6 128BIT,GPU - GALAX GTX 1650EX PLUS - 1-CLICK OC 4GB DDR6 128BIT,"₱8,100","₱8,050.00","₱9,072.00",1
1YR,GPU,GALAX,RTX 4060 1-CLICK OC BLACK 2X V2 PCI-E -8GB,GPU - GALAX RTX 4060 1-CLICK OC BLACK 2X V2 PCI-E -8GB,"₱17,300","₱17,200.00","₱19,376.00",1
1YR,GPU,GALAX,RTX 3060 1-CLICK OC BLK PCI-E 192BIT-PG190 12GB,GPU - GALAX RTX 3060 1-CLICK OC BLK PCI-E 192BIT-PG190 12GB,"₱15,800","₱15,780.00","₱17,696.00",3
1YR,GPU,GALAX,RTX 3050 1-CLICK OC BLK PCI-E 96BIT 6GB,GPU - GALAX RTX 3050 1-CLICK OC BLK PCI-E 96BIT 6GB,"₱10,400","₱10,400.00","₱11,648.00",2
1YR,GPU,GIGABYTE,RX 6600 - 8GB GV-R66 EAGLE ,GPU - GIGABYTE RX 6600 - 8GB GV-R66 EAGLE ,"₱13,200","₱13,150.00","₱14,784.00",2
1YR,GPU,RAMSTA,RX580 8GB / GDDR5 / 256BIT,GPU - RAMSTA RX580 8GB / GDDR5 / 256BIT,"₱5,200","₱5,150.00","₱5,824.00",1
1YR,GPU,RAMSTA,RX550 4GB /GDDR5/128 BIT,GPU - RAMSTA RX550 4GB /GDDR5/128 BIT,"₱3,300","₱3,280.00","₱3,696.00",1
1YR,GPU,GIGABYTE,RTX 4070 SUPER EAGLE OC 12GB,GPU - GIGABYTE RTX 4070 SUPER EAGLE OC 12GB,"₱40,820","₱40,800.00","₱45,718.40",0
1YR,GPU,PNY,VERTO RTX 4060 8GB DUAL FAN OC,GPU - PNY VERTO RTX 4060 8GB DUAL FAN OC,"₱16,800","₱16,700.00","₱18,816.00",0
1YR,GPU,SAPPHIRE,PULSE AMD RADEON RX 7800 XT GAMING 16GB GDDR6 DUAL HDMI/ DUAL DP LITE,GPU - SAPPHIRE PULSE AMD RADEON RX 7800 XT GAMING 16GB GDDR6 DUAL HDMI/ DUAL DP LITE,"₱31,800",,"₱35,616.00",0
1YR,GPU,GIGABYTE,RTX 4060 AERO OC 8GB VGA CARD 128BIT GDR6 WHITE TRIFAN,GPU - GIGABYTE RTX 4060 AERO OC 8GB VGA CARD 128BIT GDR6 WHITE TRIFAN,"₱20,650","₱20,550.00","₱23,128.00",0
1YR,GPU,GIGABYTE,RTX 4060TI AERO OC 16GB VGA CARD 128BIT GDR6 WHITE TRIFAN,GPU - GIGABYTE RTX 4060TI AERO OC 16GB VGA CARD 128BIT GDR6 WHITE TRIFAN,"₱30,895","₱30,795.00","₱34,602.40",0
1YR,GPU,GIGABYTE,RTX 4060TI AERO OC 8GB VGA CARD 128BIT GDR6 WHITE TRIFAN,GPU - GIGABYTE RTX 4060TI AERO OC 8GB VGA CARD 128BIT GDR6 WHITE TRIFAN,"₱27,650","₱27,550.00","₱30,968.00",0
1YR,HDD,SEAGATE,3.5-inch SATA - 1TB ,HDD - SEAGATE 3.5-inch SATA - 1TB ,"₱1,800","₱1,750.00","₱2,016.00",1
1YR,HDD,SEAGATE,3.5-inch SATA - 2TB,HDD - SEAGATE 3.5-inch SATA - 2TB,"₱3,450","₱3,400.00","₱3,864.00",1
1YR,HDD,SEAGATE,3.5-inch SATA - 500GB,HDD - SEAGATE 3.5-inch SATA - 500GB,₱850,₱800.00,₱952.00,1
1YR,HDD,WD,3.5-inch SATA - 2TB,HDD - WD 3.5-inch SATA - 2TB,"₱2,800","₱2,750.00","₱3,136.00",0
2WKS,HDD (USED),SEAGATE,2000GB (USED),HDD (USED) - SEAGATE 2000GB (USED),,,₱0.00,0
1YR,HDD PORTABLE,WD,MY PASSPORT PORTABLE HDD 3.0 - 2TB,HDD PORTABLE - WD MY PASSPORT PORTABLE HDD 3.0 - 2TB,"₱4,080","₱4,060.00","₱4,569.60",0
1YR,HDD PORTABLE,WD,MY PASSPORT PORTABLE ULTRA - 1TB WHITE,HDD PORTABLE - WD MY PASSPORT PORTABLE ULTRA - 1TB WHITE,"₱3,600","₱3,580.00","₱4,032.00",0
2WKS,HEADSET,BADWOLF,AURA RGB2 - BLACK,HEADSET - BADWOLF AURA RGB2 - BLACK,₱350,₱340.00,₱392.00,7
2WKS,HEADSET,BADWOLF,V8 - BLACK,HEADSET - BADWOLF V8 - BLACK,₱300,₱290.00,₱336.00,0
2WKS,HEADSET,BADWOLF,V8 - GREY,HEADSET - BADWOLF V8 - GREY,₱300,₱290.00,₱336.00,2
2WKS,HEADSET,BADWOLF,AURA RGB1 - WHITE,HEADSET - BADWOLF AURA RGB1 - WHITE,₱350,₱340.00,₱392.00,5
2WKS,HEADSET,BADWOLF,NINJA,HEADSET - BADWOLF NINJA,₱430,₱420.00,₱481.60,2
2MOS,HEADSET,BADWOLF,MONSTER 7.1 - ORANGE,HEADSET - BADWOLF MONSTER 7.1 - ORANGE,₱980,₱930.00,"₱1,097.60",1
2MOS,HEADSET,BADWOLF,MONSTER 7.1 - GREEN,HEADSET - BADWOLF MONSTER 7.1 - GREEN,₱980,₱930.00,"₱1,097.60",1
1MO,HEADSET,FANTECH,CHIEF HG-13,HEADSET - FANTECH CHIEF HG-13,₱785,₱735.00,₱879.20,0
3MOS,HEADSET,GALAX,HOF Maestro H1 7.1 Gaming Headset - black,HEADSET - GALAX HOF Maestro H1 7.1 Gaming Headset - black,"₱3,950","₱3,930.00","₱4,424.00",0
1MO,HEADSET,HP,GSTORM - H2 (BLACK),HEADSET - HP GSTORM - H2 (BLACK),₱185,₱180.00,₱207.20,1
2WKS,HEADSET,INPLAY,HN620 NOISE CANCELLING,HEADSET - INPLAY HN620 NOISE CANCELLING,₱550,₱530.00,₱616.00,6
1MO,HEADSET,KEYTECH,GSTORM - H2 (RED),HEADSET - KEYTECH GSTORM - H2 (RED),₱190,₱180.00,₱212.80,14
2WKS,HEADSET,KEYTECH,BOOMBER - BLACK,HEADSET - KEYTECH BOOMBER - BLACK,₱300,₱280.00,₱336.00,1
2WKS,HEADSET,KEYTECH,BOOMBER - RED,HEADSET - KEYTECH BOOMBER - RED,₱300,₱280.00,₱336.00,11
1MO,HEADSET,LOGITECH,(H390 BLACK) USB WIRED,HEADSET - LOGITECH (H390 BLACK) USB WIRED,"₱2,150","₱2,130.00","₱2,408.00",0
2WKS,HEADSET,LOGITECH ,H110 STEREO HEADSET,HEADSET - LOGITECH  H110 STEREO HEADSET,₱480,₱460.00,₱537.60,3
3MOS,HEADSET,MSI,DH20 ARGB - BLACK,HEADSET - MSI DH20 ARGB - BLACK,₱950,₱930.00,"₱1,064.00",0
1MO,HEADSET,NEXION,ME-01,HEADSET - NEXION ME-01,₱450,₱440.00,₱504.00,0
,HEADSET,POLY,BLACKWIRE C3220 USB-A/ USB-C BLACK/RED,HEADSET - POLY BLACKWIRE C3220 USB-A/ USB-C BLACK/RED,"₱2,100","₱2,000.00","₱2,352.00",0
3MOS,HEADSET,RAZER,KAIRA HYPERSPEED PS5 ,HEADSET - RAZER KAIRA HYPERSPEED PS5 ,"₱7,930","₱7,900.00","₱8,881.60",1
3MOS,HEADSET,RAZER,KAIRA PRO HYPERSPEED PS5 ,HEADSET - RAZER KAIRA PRO HYPERSPEED PS5 ,"₱11,750","₱11,720.00","₱13,160.00",0
,HEADSET,RED DRAGON,(H888) LUCE TRI-MODE GAMING HDSET BLK,HEADSET - RED DRAGON (H888) LUCE TRI-MODE GAMING HDSET BLK,"₱1,450","₱1,400.00","₱1,624.00",0
2WKS,HEADSET,RED DRAGON,(H320RGB-1) LAMIA 2 WITH STAND,HEADSET - RED DRAGON (H320RGB-1) LAMIA 2 WITH STAND,"₱1,395","₱1,375.00","₱1,562.40",0
3MOS,HEADSET,REDRAGON,(H130) PELIAS - BLACK,HEADSET - REDRAGON (H130) PELIAS - BLACK,₱550,₱520.00,₱616.00,0
3MOS,HEADSET,REDRAGON,(H848G) IRE PRO - WHITE-GRAY,HEADSET - REDRAGON (H848G) IRE PRO - WHITE-GRAY,"₱2,250","₱2,220.00","₱2,520.00",0
3MOS,HEADSET,REDRAGON,(H858) ARROW WIRED + 2.4G + BT - BLACK,HEADSET - REDRAGON (H858) ARROW WIRED + 2.4G + BT - BLACK,"₱2,450","₱2,420.00","₱2,744.00",1
3MOS,HEADSET,REDRAGON,MIRA (H868) WIRED + 2.4G + BT - BLACK,HEADSET - REDRAGON MIRA (H868) WIRED + 2.4G + BT - BLACK,"₱2,300","₱2,280.00","₱2,576.00",0
3MOS,HEADSET,REDRAGON,(H371W-RGB) HYLAS USB - WHITE,HEADSET - REDRAGON (H371W-RGB) HYLAS USB - WHITE,"₱1,030","₱1,010.00","₱1,153.60",0
3MOS,HEADSET,REDRAGON,(H848) IRE PRO - BLACK,HEADSET - REDRAGON (H848) IRE PRO - BLACK,"₱1,900","₱1,880.00","₱2,128.00",0
3MOS,HEADSET,REDRAGON,(H371-RGB) HYLAS USB - BLACK,HEADSET - REDRAGON (H371-RGB) HYLAS USB - BLACK,₱950,₱930.00,"₱1,064.00",0
3MOS,HEADSET,REDRAGON,(H260-W) HYLAS - WHITE,HEADSET - REDRAGON (H260-W) HYLAS - WHITE,₱980,₱960.00,"₱1,097.60",0
3MOS,HEADSET,REDRAGON,(H260RGB) HYLAS  - BLACK,HEADSET - REDRAGON (H260RGB) HYLAS  - BLACK,₱950,₱930.00,"₱1,064.00",0
3MOS,HEADSET,REDRAGON,(H270-P) MENTO - PINK,HEADSET - REDRAGON (H270-P) MENTO - PINK,"₱1,000",₱980.00,"₱1,120.00",1
3MOS,HEADSET,REDRAGON,(H510-1) ZEUS V2 - BLACK,HEADSET - REDRAGON (H510-1) ZEUS V2 - BLACK,"₱2,100","₱2,080.00","₱2,352.00",0
3MOS,HEADSET,REDRAGON,(H510-RGB V3) ZEUS X - BLACK,HEADSET - REDRAGON (H510-RGB V3) ZEUS X - BLACK,"₱2,100","₱2,080.00","₱2,352.00",0
3MOS,HEADSET,REDRAGON,(H510W) ZEUS V2 - WHITE,HEADSET - REDRAGON (H510W) ZEUS V2 - WHITE,"₱2,150","₱2,130.00","₱2,408.00",0
3MOS,HEADSET,REDRAGON,(H261) CARMEN - BLACK,HEADSET - REDRAGON (H261) CARMEN - BLACK,₱980,₱960.00,"₱1,097.60",0
3MOS,HEADSET,REDRAGON,(H838 V2) NOMEN - BLACK (2.4GHZ) 7.1 surround sound,HEADSET - REDRAGON (H838 V2) NOMEN - BLACK (2.4GHZ) 7.1 surround sound,"₱2,450","₱2,430.00","₱2,744.00",1
3MOS,HEADSET,REDRAGON ,(H878WB) SKULD PRO WHITE-BLUE,HEADSET - REDRAGON  (H878WB) SKULD PRO WHITE-BLUE,"₱1,800","₱1,750.00","₱2,016.00",0
3MOS,HEADSET,REDRAGON ,(H878WG) SKULD PRO WHITE-GRAY,HEADSET - REDRAGON  (H878WG) SKULD PRO WHITE-GRAY,"₱1,800","₱1,750.00","₱2,016.00",0
1MO,HEADSET,LECOO,HT106 3.5 BLACK,HEADSET - LECOO HT106 3.5 BLACK,,-₱20.00,₱0.00,0
,HEATSINK FAN,INTEL,10-11 GEN,HEATSINK FAN - INTEL 10-11 GEN,,-₱20.00,₱0.00,0
